Benefit Name,Unit of Measurement,DefaultDisbursementQuantity,Benefit Type Name,Benefit Type,BenefitCategory,Unit of Measure Id,BenefitTypeId,BenefitStatus,Program Id,Program Name,IsActive,EndDateTime,StartDateTime
Family Reunification Support,Session,1,Social/Emotional,Service,Clinical,0hERT0000000pto2AA,0jhRT0000000PhcYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
External Professional Team,Referral,1,Case Management,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhdYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Care Coordination- External Medical Provider,Referral,1,Case Management,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhdYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
External Therapy Provider,Referral,1,Case Management,Service,Clinical,0hERT0000000pts2AA,0jhRT0000000PhdYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
"Medical, Legal, or Employment",Session,1,Care Coordination,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhoYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Bus pass,Pass,5,Transportation Assistance,Monetary,Case Management,0hERT0000000ptu2AA,0jhRT0000000PhpYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Police Interaction- General Support,Session,4,Police Intervention,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhqYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Police Interaction- Arrest,Session,4,Police Intervention,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhqYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
BIPOC Support,Session,1,Clinical Counseling,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhrYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
LGBTQIA Support,Session,1,Clinical Counseling,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhrYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Peer Support,Session,1,Peer Clinical,Service,Case Management,0hERT0000000pto2AA,0jhRT0000000PhsYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Individual Session,Case Mgmt Hour,1,Clinical Counseling,Service,Case Management,0hERT0000000ptp2AA,0jhRT0000000PhrYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Substance Use Support,Case Mgmt Hour,1,Clinical Counseling,Service,Case Management,0hERT0000000ptp2AA,0jhRT0000000PhrYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
Group Support,Group Hour,1,Peer Clinical,Service,Case Management,0hERT0000000ptq2AA,0jhRT0000000PhsYAE,Active,11WVY000000GC6r2AG,1440 Pine,TRUE,9/30/2026,10/1/2025
